,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,6.847541809082031,6.869132995605469,"(22832.94, 372.88)","(22909.94, 374.35)",0,0
1,0.0001,6.869132995605469,6.883758544921875,"(22909.94, 374.35)","(22987.04, 375.84)",0,0
2,0.001,6.883758544921875,6.898998260498047,"(22987.04, 375.84)","(23063.87, 377.34)",0,0
3,0.01,6.898998260498047,6.915542602539063,"(23063.87, 377.34)","(23140.94, 378.7)",0,0
4,0.1,6.915542602539063,6.934696197509766,"(23140.94, 378.7)","(23216.76, 380.16)",0,0
5,1.0,6.934696197509766,6.9539642333984375,"(23216.76, 380.16)","(23293.42, 381.6)",0,0
6,10.0,6.9539642333984375,6.97308349609375,"(23293.43, 381.6)","(23370.23, 383.02)",0,0
7,100.0,6.97308349609375,6.992591857910156,"(23370.23, 383.02)","(23446.72, 384.44)",0,0
8,1000.0,6.992591857910156,7.012355804443359,"(23446.72, 384.44)","(23522.73, 385.89)",0,0
0,10000,7.012355804443359,7.032207489013672,"(23522.73, 385.89)","(23598.69, 387.35)",0,0
