,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,3.983444213867188,4.003208160400391,"(11715.11, 171.52)","(11791.02, 172.77)",0,0
1,0.0001,4.003208160400391,4.022850036621094,"(11791.02, 172.77)","(11866.14, 173.99)",0,0
2,0.001,4.022850036621094,4.042839050292969,"(11866.14, 173.99)","(11941.52, 175.32)",0,0
3,0.01,4.042839050292969,4.062709808349609,"(11941.53, 175.32)","(12017.17, 176.66)",0,0
4,0.1,4.062709808349609,4.082481384277344,"(12017.17, 176.66)","(12092.86, 177.96)",0,0
5,1.0,4.082481384277344,4.102352142333984,"(12092.86, 177.96)","(12168.0, 179.25)",0,0
6,10.0,4.102352142333984,4.121734619140625,"(12168.0, 179.25)","(12243.44, 180.5)",0,0
7,100.0,4.121734619140625,4.141628265380859,"(12243.44, 180.5)","(12319.14, 181.8)",0,0
8,1000.0,4.141628265380859,4.161617279052734,"(12319.14, 181.8)","(12394.51, 183.11)",0,0
0,10000,4.161617279052734,4.1812591552734375,"(12394.51, 183.11)","(12469.94, 184.36)",0,0
