,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,3.099475860595703,3.119232177734375,"(8293.11, 117.61)","(8367.95, 118.73)",0,0
1,0.0001,3.119232177734375,3.14312744140625,"(8367.95, 118.73)","(8444.04, 119.88)",0,0
2,0.001,3.14312744140625,3.15823745727539,"(8444.04, 119.88)","(8519.42, 121.09)",0,0
3,0.01,3.15823745727539,3.1797027587890625,"(8519.42, 121.09)","(8594.68, 122.24)",0,0
4,0.1,3.1797027587890625,3.1965484619140625,"(8594.68, 122.24)","(8670.84, 123.45)",0,0
5,1.0,3.1965484619140625,3.213634490966797,"(8670.84, 123.45)","(8746.14, 124.71)",0,0
6,10.0,3.213634490966797,3.2326698303222656,"(8746.15, 124.71)","(8820.85, 125.86)",0,0
7,100.0,3.2326698303222656,3.252426147460937,"(8820.85, 125.86)","(8895.41, 127.03)",0,0
8,1000.0,3.252426147460937,3.271697998046875,"(8895.41, 127.03)","(8970.09, 128.3)",0,0
0,10000,3.271697998046875,3.291595458984375,"(8970.09, 128.3)","(9045.68, 129.54)",0,0
