,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,5.083763122558594,5.103397369384766,"(15909.85, 243.17)","(15985.65, 244.48)",0,0
1,0.0001,5.103397369384766,5.123035430908203,"(15985.65, 244.48)","(16061.12, 245.86)",0,0
2,0.001,5.123035430908203,5.142658233642578,"(16061.12, 245.86)","(16136.42, 247.18)",0,0
3,0.01,5.142658233642578,5.163749694824219,"(16136.43, 247.18)","(16212.44, 248.48)",0,0
4,0.1,5.163749694824219,5.183769226074219,"(16212.44, 248.48)","(16287.57, 249.78)",0,0
5,1.0,5.183769226074219,5.203544616699219,"(16287.57, 249.78)","(16363.19, 251.08)",0,0
6,10.0,5.203544616699219,5.223400115966797,"(16363.2, 251.08)","(16438.29, 252.45)",0,0
7,100.0,5.223400115966797,5.2427825927734375,"(16438.29, 252.45)","(16514.15, 253.69)",0,0
8,1000.0,5.2427825927734375,5.271568298339844,"(16514.15, 253.69)","(16589.83, 254.9)",0,0
0,10000,5.271568298339844,5.2915802001953125,"(16589.84, 254.9)","(16665.58, 256.13)",0,0
