,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,2.188976287841797,2.213878631591797,"(4894.38, 67.38)","(4970.01, 68.53)",0,0
1,0.0001,2.213878631591797,2.2349777221679688,"(4970.02, 68.53)","(5044.94, 69.62)",0,0
2,0.001,2.2349777221679688,2.254863739013672,"(5044.94, 69.62)","(5119.94, 70.68)",0,0
3,0.01,2.254863739013672,2.2725601196289062,"(5119.94, 70.68)","(5195.14, 71.81)",0,0
4,0.1,2.2725601196289062,2.2897720336914062,"(5195.14, 71.82)","(5271.21, 72.93)",0,0
5,1.0,2.2897720336914062,2.3100318908691406,"(5271.22, 72.93)","(5346.0, 74.04)",0,0
6,10.0,2.3100318908691406,2.337963104248047,"(5346.01, 74.04)","(5420.09, 75.22)",0,0
7,100.0,2.337963104248047,2.35760498046875,"(5420.09, 75.22)","(5494.49, 76.3)",0,0
8,1000.0,2.35760498046875,2.377479553222656,"(5494.49, 76.3)","(5569.16, 77.4)",0,0
0,10000,2.3774795532226562,2.3973770141601562,"(5569.16, 77.4)","(5644.67, 78.48)",0,0
