,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,6.452522277832031,6.472278594970703,"(21300.82, 342.03)","(21376.65, 343.52)",0,0
1,0.0001,6.472278594970703,6.491905212402344,"(21376.65, 343.52)","(21453.81, 345.02)",0,0
2,0.001,6.491905212402344,6.511787414550781,"(21453.81, 345.02)","(21530.71, 346.62)",0,0
3,0.01,6.511787414550781,6.531646728515625,"(21530.71, 346.62)","(21607.63, 348.19)",0,0
4,0.1,6.531646728515625,6.553585052490234,"(21607.63, 348.19)","(21684.36, 349.74)",0,0
5,1.0,6.553585052490234,6.5733184814453125,"(21684.36, 349.74)","(21761.14, 351.18)",0,0
6,10.0,6.5733184814453125,6.593189239501953,"(21761.14, 351.18)","(21837.29, 352.62)",0,0
7,100.0,6.593189239501953,6.613063812255859,"(21837.29, 352.62)","(21913.05, 354.18)",0,0
8,1000.0,6.613063812255859,6.632827758789063,"(21913.05, 354.18)","(21989.17, 355.71)",0,0
0,10000,6.6328277587890625,6.6524505615234375,"(21989.18, 355.71)","(22064.62, 357.35)",0,0
