,methods,Loss,RMSE,PCC
0,FedAvg_Aug,0.21500925719738,0.4636909067630768,0.4226968931357535
1,FedAvg_Aug,0.21500925719738,0.4636909067630768,0.4226968931357535
2,FedBN_Aug,0.2260933667421341,0.4754927456378937,0.4011881630352543
3,FedDistill_Aug,0.223553329706192,0.4728142619132995,0.4029672944433167
4,FedOpt_Aug,0.2283735126256942,0.4778844118118286,0.404227402845667
0,FedProx_Aug,0.22608336806297302,0.4754822552204132,0.4006462244046777
