,methods,Loss,RMSE,PCC
0,FedAvg-Aug,0.2154227346181869,0.46413654088974,0.4170511265024063
1,FedAvg-Aug,0.2154227346181869,0.46413654088974,0.4170511265024063
2,FedBN-Aug,0.225158080458641,0.4745082259178161,0.3983658165830327
3,FedDistill-Aug,0.2256133705377578,0.4749877452850342,0.4043378926360395
4,FedOpt-Aug,0.2255451679229736,0.4749159514904022,0.4017046100820837
5,FedProx-Aug,0.2291326522827148,0.4786780178546905,0.4001504203608347
