,methods,Loss,RMSE,PCC
0,FedAvg_Aug,0.2154227346181869,0.46413654088974,0.4170511265024063
1,FedAvg_Aug,0.2154227346181869,0.46413654088974,0.4170511265024063
2,FedBN_Aug,0.225158080458641,0.4745082259178161,0.3983658165830327
3,FedDistill_Aug,0.2256133705377578,0.4749877452850342,0.4043378926360395
4,FedOpt_Aug,0.2255451679229736,0.4749159514904022,0.4017046100820837
0,FedProx_Aug,0.22913265228271484,0.47867801785469055,0.40015042036083476
