,methods,Loss,RMSE,PCC
0,FedAvg-Aug,0.2115819752216339,0.4599803984165191,0.4208398937311173
1,FedAvg-Aug,0.2115819752216339,0.4599803984165191,0.4208398937311173
2,FedBN-Aug,0.2306400090456009,0.4802499115467071,0.402266677694482
3,FedDistill-Aug,0.2511385679244995,0.5011371970176697,0.3832614517489881
4,FedOpt-Aug,0.2310908138751983,0.4807190597057342,0.3970861911216865
5,FedProx-Aug,0.2222473919391632,0.4714312255382538,0.401468859008207
