,methods,Loss,RMSE,PCC
0,FedAvg-Aug,0.2132292836904525,0.4617675840854645,0.4300754500843045
1,FedAvg-Aug,0.2132292836904525,0.4617675840854645,0.4300754500843045
2,FedBN-Aug,0.2290496975183487,0.4785913527011871,0.3989320173819929
3,FedDistill-Aug,0.2334436029195785,0.4831600189208984,0.3957906140170047
4,FedOpt-Aug,0.2261136025190353,0.4755140542984009,0.3961060410533276
5,FedProx-Aug,0.2258237451314926,0.4752091467380523,0.3989692865279232
