,methods,Loss,RMSE,PCC
0,FedAvg-Aug,0.2141319215297699,0.4627439081668854,0.4227858428891492
1,FedAvg-Aug,0.2141319215297699,0.4627439081668854,0.4227858428891492
2,FedBN-Aug,0.2287391573190689,0.4782668352127075,0.4005300566408046
3,FedDistill-Aug,0.2233746349811554,0.4726252555847168,0.3982987852269281
4,FedOpt-Aug,0.2230761647224426,0.4723093807697296,0.4008495592074185
5,FedProx-Aug,0.2288489192724228,0.4783816039562225,0.3986233387736568
