,methods,Loss,RMSE,PCC
0,FedAvg-Aug,0.2156127393245697,0.4643411934375763,0.4212359908730998
1,FedAvg-Aug,0.2156127393245697,0.4643411934375763,0.4212359908730998
2,FedBN-Aug,0.2252987772226333,0.4746564626693725,0.4006755551463235
3,FedDistill-Aug,0.2295569777488708,0.479121059179306,0.4006072169696432
4,FedOpt-Aug,0.2253152132034301,0.4746737778186798,0.4020937012707478
5,FedProx-Aug,0.2270437180995941,0.4764910340309143,0.3981899085519061
