,methods,Loss,RMSE,PCC
0,FedAvg-Aug,0.2165442705154419,0.465343177318573,0.4233704737658514
1,FedAvg-Aug,0.2165442705154419,0.465343177318573,0.4233704737658514
2,FedBN-Aug,0.2247720211744308,0.4741012752056122,0.402458978786445
3,FedDistill-Aug,0.2386524081230163,0.4885206222534179,0.404109231899454
4,FedOpt-Aug,0.224512979388237,0.473827987909317,0.4033654588972104
5,FedProx-Aug,0.2239670604467392,0.4732515811920166,0.403485692967681
