,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.0133514404296875,1.0334930419921875,"(763.62, 11.04)","(837.0, 11.98)",0,0
1,0.0001,1.0334930419921875,1.050823211669922,"(837.0, 11.98)","(911.58, 12.88)",0,0
2,0.001,1.050823211669922,1.0784034729003906,"(911.58, 12.88)","(985.24, 13.85)",0,0
3,0.01,1.0784034729003906,1.0983009338378906,"(985.24, 13.85)","(1058.86, 14.76)",0,0
4,0.1,1.0983009338378906,1.127338409423828,"(1058.86, 14.76)","(1132.54, 15.73)",0,0
5,1.0,1.127338409423828,1.1473503112792969,"(1132.54, 15.73)","(1206.91, 16.68)",0,0
6,10.0,1.1473503112792969,1.1659011840820312,"(1206.92, 16.68)","(1280.9, 17.6)",0,0
7,100.0,1.1659011840820312,1.1833572387695312,"(1280.9, 17.6)","(1355.26, 18.56)",0,0
8,1000.0,1.1833572387695312,1.2037429809570312,"(1355.26, 18.56)","(1429.26, 19.52)",0,0
0,10000,1.2037429809570312,1.2237548828125,"(1429.26, 19.52)","(1503.36, 20.54)",0,0
