,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,4.496433258056641,4.518009185791016,"(13629.59, 202.94)","(13705.81, 204.28)",0,0
1,0.0001,4.518009185791016,4.535190582275391,"(13705.81, 204.28)","(13781.93, 205.63)",0,0
2,0.001,4.535190582275391,4.553005218505859,"(13781.93, 205.63)","(13858.05, 206.87)",0,0
3,0.01,4.553005218505859,4.571163177490234,"(13858.06, 206.87)","(13934.36, 208.11)",0,0
4,0.1,4.571163177490234,4.590911865234375,"(13934.36, 208.11)","(14010.11, 209.38)",0,0
5,1.0,4.590911865234375,4.610645294189453,"(14010.12, 209.38)","(14086.39, 210.75)",0,0
6,10.0,4.610645294189453,4.630523681640625,"(14086.4, 210.75)","(14162.63, 212.14)",0,0
7,100.0,4.630523681640625,4.650279998779297,"(14162.63, 212.14)","(14238.66, 213.53)",0,0
8,1000.0,4.650279998779297,4.674674987792969,"(14238.66, 213.53)","(14314.38, 214.86)",0,0
0,10000,4.674674987792969,4.694538116455078,"(14314.38, 214.86)","(14390.18, 216.2)",0,0
