,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.7991905212402344,1.8112754821777344,"(3398.43, 45.78)","(3474.05, 46.87)",0,0
1,0.0001,1.8112754821777344,1.8285980224609373,"(3474.05, 46.87)","(3548.91, 47.85)",0,0
2,0.001,1.8285980224609373,1.8475189208984373,"(3548.91, 47.85)","(3623.35, 48.93)",0,0
3,0.01,1.8475189208984373,1.8707122802734373,"(3623.35, 48.93)","(3697.69, 50.04)",0,0
4,0.1,1.8707122802734373,1.8903656005859373,"(3697.69, 50.04)","(3772.03, 51.16)",0,0
5,1.0,1.8903656005859373,1.9105072021484373,"(3772.03, 51.16)","(3846.38, 52.3)",0,0
6,10.0,1.9105072021484373,1.9301414489746087,"(3846.38, 52.3)","(3920.85, 53.4)",0,0
7,100.0,1.9301414489746087,1.9496726989746087,"(3920.85, 53.4)","(3995.85, 54.47)",0,0
8,1000.0,1.9496726989746092,1.9722557067871092,"(3995.85, 54.47)","(4070.53, 55.6)",0,0
0,10000,1.9722557067871094,1.9932518005371094,"(4070.54, 55.6)","(4145.23, 56.64)",0,0
