,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,7.137847900390625,7.164180755615234,"(24006.34, 395.18)","(24083.34, 396.87)",0,0
1,0.0001,7.164180755615234,7.184139251708984,"(24083.34, 396.87)","(24160.6, 398.41)",0,0
2,0.001,7.184139251708984,7.203727722167969,"(24160.61, 398.41)","(24237.39, 400.03)",0,0
3,0.01,7.203727722167969,7.223941802978516,"(24237.39, 400.03)","(24314.43, 401.68)",0,0
4,0.1,7.223941802978516,7.243289947509766,"(24314.43, 401.68)","(24392.09, 403.24)",0,0
5,1.0,7.243289947509766,7.263263702392578,"(24392.09, 403.24)","(24468.72, 404.88)",0,0
6,10.0,7.263263702392578,7.28338623046875,"(24468.73, 404.88)","(24545.33, 406.51)",0,0
7,100.0,7.28338623046875,7.30322265625,"(24545.33, 406.51)","(24622.57, 408.1)",0,0
8,1000.0,7.30322265625,7.322845458984375,"(24622.57, 408.1)","(24699.48, 409.72)",0,0
0,10000,7.322845458984375,7.342708587646484,"(24699.49, 409.72)","(24776.1, 411.36)",0,0
