,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,7.724384307861328,7.744499206542969,"(26321.06, 444.08)","(26397.79, 445.59)",0,0
1,0.0001,7.744499206542969,7.763587951660156,"(26397.79, 445.59)","(26474.2, 447.11)",0,0
2,0.001,7.763587951660156,7.7850341796875,"(26474.21, 447.11)","(26551.45, 448.58)",0,0
3,0.01,7.7850341796875,7.803325653076172,"(26551.45, 448.58)","(26628.14, 450.2)",0,0
4,0.1,7.803325653076172,7.823810577392578,"(26628.14, 450.2)","(26704.46, 451.74)",0,0
5,1.0,7.823810577392578,7.842937469482422,"(26704.46, 451.74)","(26781.09, 453.27)",0,0
6,10.0,7.842937469482422,7.862945556640625,"(26781.1, 453.27)","(26857.68, 454.82)",0,0
7,100.0,7.862945556640625,7.882419586181641,"(26857.69, 454.82)","(26933.94, 456.36)",0,0
8,1000.0,7.882419586181641,7.902305603027344,"(26933.95, 456.36)","(27010.64, 457.88)",0,0
0,10000,7.902305603027344,7.922183990478516,"(27010.65, 457.88)","(27087.26, 459.44)",0,0
