,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,5.977996826171875,5.998500823974609,"(19366.84, 305.54)","(19442.3, 306.96)",0,0
1,0.0001,5.998500823974609,6.018253326416016,"(19442.3, 306.96)","(19517.62, 308.38)",0,0
2,0.001,6.018253326416016,6.037883758544922,"(19517.62, 308.38)","(19593.16, 309.8)",0,0
3,0.01,6.037883758544922,6.057758331298828,"(19593.16, 309.8)","(19668.56, 311.12)",0,0
4,0.1,6.057758331298828,6.077243804931641,"(19668.56, 311.12)","(19744.39, 312.49)",0,0
5,1.0,6.077243804931641,6.097114562988281,"(19744.39, 312.49)","(19820.26, 313.93)",0,0
6,10.0,6.097114562988281,6.117122650146484,"(19820.27, 313.93)","(19895.74, 315.34)",0,0
7,100.0,6.117122650146484,6.137004852294922,"(19895.75, 315.34)","(19971.23, 316.73)",0,0
8,1000.0,6.137004852294922,6.154560089111328,"(19971.24, 316.73)","(20048.04, 318.19)",0,0
0,10000,6.154560089111328,6.169197082519531,"(20048.05, 318.19)","(20124.61, 319.6)",0,0
