,round,Loss,RMSE
0,1.0,0.234070137143135,0.4838079512119293
1,2.0,0.2262797653675079,0.4756887555122375
2,3.0,0.2272127717733383,0.4766683876514435
3,4.0,0.2369806468486786,0.4868066012859344
4,5.0,0.231596291065216,0.4812445342540741
5,6.0,0.2281272113323211,0.4776266515254974
6,7.0,0.2237746715545654,0.4730482995510101
7,8.0,0.2286130338907241,0.4781349599361419
8,9.0,0.2356262803077697,0.485413521528244
0,10.0,0.22951582074165344,0.479078084230423
