,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,3.5869369506835938,3.606067657470703,"(10199.49, 146.74)","(10275.01, 147.96)",0,0
1,0.0001,3.606067657470703,3.624702453613281,"(10275.01, 147.96)","(10349.75, 149.2)",0,0
2,0.001,3.624702453613281,3.643257141113281,"(10349.75, 149.2)","(10425.31, 150.51)",0,0
3,0.01,3.643257141113281,3.661655426025391,"(10425.31, 150.51)","(10500.61, 151.83)",0,0
4,0.1,3.661655426025391,3.6815261840820312,"(10500.61, 151.83)","(10577.33, 153.04)",0,0
5,1.0,3.6815261840820312,3.7063064575195312,"(10577.34, 153.04)","(10652.75, 154.26)",0,0
6,10.0,3.7063064575195312,3.726184844970703,"(10652.75, 154.26)","(10727.91, 155.53)",0,0
7,100.0,3.726184844970703,3.749858856201172,"(10727.92, 155.53)","(10803.76, 156.66)",0,0
8,1000.0,3.749858856201172,3.771209716796875,"(10803.77, 156.66)","(10879.65, 157.83)",0,0
0,10000,3.771209716796875,3.7912254333496094,"(10879.65, 157.83)","(10955.04, 159.02)",0,0
