,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,NR,1,0.2906,0.5319,0.5356,0.4111,0.617,0.4188
1,NR,10,0.2562,0.4972,0.5912,0.2578,0.5014,0.5186
2,NR,100,0.2616,0.5027,0.5315,0.2354,0.4804,0.5635
3,NR,1000,0.2495,0.4936,0.597,0.2407,0.4838,0.5383
0,NR,10000,0.2492,0.4927,0.606,0.2437,0.4878,0.5589
