,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.0197067260742188,1.0403327941894531,"(771.88, 11.21)","(845.53, 12.23)",0,0
1,0.0001,1.0403327941894531,1.0656013488769531,"(845.53, 12.23)","(920.63, 13.19)",0,0
2,0.001,1.0656013488769531,1.0918350219726562,"(920.63, 13.19)","(995.54, 14.24)",0,0
3,0.01,1.0918350219726562,1.1205215454101562,"(995.54, 14.24)","(1069.62, 15.23)",0,0
4,0.1,1.1205215454101562,1.1422348022460938,"(1069.62, 15.23)","(1144.17, 16.24)",0,0
5,1.0,1.1422348022460938,1.1675033569335938,"(1144.17, 16.24)","(1218.34, 17.22)",0,0
6,10.0,1.1675033569335938,1.186279296875,"(1218.34, 17.22)","(1292.41, 18.22)",0,0
7,100.0,1.186279296875,1.2083702087402344,"(1292.41, 18.22)","(1367.37, 19.16)",0,0
8,1000.0,1.2083702087402344,1.2349815368652344,"(1367.37, 19.16)","(1441.86, 20.13)",0,0
0,10000,1.2349815368652344,1.2609825134277344,"(1441.86, 20.13)","(1516.29, 21.16)",0,0
