,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,6.258201599121094,6.280864715576172,"(20535.86, 326.8)","(20612.76, 328.43)",0,0
1,0.0001,6.280864715576172,6.298046112060547,"(20612.77, 328.43)","(20689.64, 329.9)",0,0
2,0.001,6.298046112060547,6.3155670166015625,"(20689.64, 329.9)","(20766.29, 331.35)",0,0
3,0.01,6.3155670166015625,6.333961486816406,"(20766.29, 331.35)","(20843.04, 332.81)",0,0
4,0.1,6.333961486816406,6.359203338623047,"(20843.04, 332.81)","(20919.5, 334.38)",0,0
5,1.0,6.359203338623047,6.376392364501953,"(20919.5, 334.38)","(20995.8, 335.89)",0,0
6,10.0,6.376392364501953,6.394065856933594,"(20995.8, 335.89)","(21072.33, 337.4)",0,0
7,100.0,6.394065856933594,6.413093566894531,"(21072.33, 337.4)","(21148.35, 338.92)",0,0
8,1000.0,6.413093566894531,6.432926177978516,"(21148.35, 338.92)","(21224.92, 340.43)",0,0
0,10000,6.432926177978516,6.452522277832031,"(21224.92, 340.43)","(21300.81, 342.03)",0,0
