,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,4.9019927978515625,4.921516418457031,"(15146.49, 229.52)","(15222.29, 230.89)",0,0
1,0.0001,4.921516418457031,4.937370300292969,"(15222.3, 230.89)","(15301.09, 232.35)",0,0
2,0.001,4.937370300292969,4.952110290527344,"(15301.1, 232.35)","(15377.94, 233.74)",0,0
3,0.01,4.952110290527344,4.967212677001953,"(15377.94, 233.74)","(15454.92, 235.0)",0,0
4,0.1,4.967212677001953,4.985260009765625,"(15454.92, 235.0)","(15531.29, 236.36)",0,0
5,1.0,4.985260009765625,5.004543304443359,"(15531.29, 236.36)","(15606.82, 237.73)",0,0
6,10.0,5.004543304443359,5.0237884521484375,"(15606.82, 237.73)","(15682.76, 239.09)",0,0
7,100.0,5.0237884521484375,5.044036865234375,"(15682.77, 239.09)","(15758.51, 240.48)",0,0
8,1000.0,5.044036865234375,5.063884735107422,"(15758.52, 240.48)","(15833.95, 241.84)",0,0
0,10000,5.063884735107422,5.083763122558594,"(15833.95, 241.84)","(15909.83, 243.17)",0,0
