,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,4.1812591552734375,4.201393127441406,"(12469.95, 184.36)","(12545.09, 185.51)",0,0
1,0.0001,4.201393127441406,4.228855133056641,"(12545.09, 185.51)","(12619.69, 186.74)",0,0
2,0.001,4.228855133056641,4.251430511474609,"(12619.69, 186.74)","(12694.85, 188.01)",0,0
3,0.01,4.251430511474609,4.271324157714844,"(12694.85, 188.01)","(12770.27, 189.22)",0,0
4,0.1,4.271324157714844,4.2909698486328125,"(12770.28, 189.22)","(12845.55, 190.4)",0,0
5,1.0,4.2909698486328125,4.310718536376953,"(12845.55, 190.41)","(12920.78, 191.61)",0,0
6,10.0,4.310718536376953,4.330844879150391,"(12920.78, 191.61)","(12995.94, 192.83)",0,0
7,100.0,4.330844879150391,4.350612640380859,"(12995.94, 192.83)","(13071.28, 193.99)",0,0
8,1000.0,4.350612640380859,4.371593475341797,"(13071.28, 193.99)","(13146.55, 195.16)",0,0
0,10000,4.371593475341797,4.392086029052734,"(13146.55, 195.16)","(13221.78, 196.37)",0,0
