,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,5.7780609130859375,5.797687530517578,"(18603.83, 291.11)","(18679.89, 292.54)",0,0
1,0.0001,5.797687530517578,5.819171905517578,"(18679.89, 292.54)","(18756.64, 293.94)",0,0
2,0.001,5.819171905517578,5.839057922363281,"(18756.64, 293.94)","(18833.23, 295.36)",0,0
3,0.01,5.839057922363281,5.858680725097656,"(18833.23, 295.36)","(18910.03, 296.81)",0,0
4,0.1,5.858680725097656,5.8836822509765625,"(18910.03, 296.81)","(18986.11, 298.26)",0,0
5,1.0,5.8836822509765625,5.9011993408203125,"(18986.11, 298.26)","(19061.69, 299.69)",0,0
6,10.0,5.9011993408203125,5.919353485107422,"(19061.69, 299.69)","(19138.08, 301.16)",0,0
7,100.0,5.919353485107422,5.938629150390625,"(19138.09, 301.16)","(19214.39, 302.61)",0,0
8,1000.0,5.938629150390625,5.95849609375,"(19214.39, 302.61)","(19290.45, 304.1)",0,0
0,10000,5.95849609375,5.977996826171875,"(19290.45, 304.1)","(19366.83, 305.54)",0,0
