,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,SI,1e-05,0.1904641773987126,0.43142185,0.626457904419076,0.2492594528867273,0.49073148,0.5101551194479073
1,SI,0.0001,0.1868498163273582,0.42805663,0.6162546595236069,0.2463975512758404,0.48811725,0.511481477628731
2,SI,0.001,0.1833475466285433,0.42422375,0.6176457104832599,0.253520306655947,0.49452162,0.5171242329490203
3,SI,0.01,0.1842989655961463,0.42481628,0.6265181782466603,0.2477620992378718,0.48910424,0.5153219976468352
4,SI,0.1,0.194020690759281,0.43627122,0.6175485363443904,0.2504066894350408,0.4921203,0.5122589865618739
5,SI,1.0,0.1899702931185821,0.43099162,0.6259403436310579,0.2347146369212744,0.47880462,0.5331624730545095
6,SI,10.0,0.1919619177359265,0.43315363,0.6221030216327029,0.2318781046386884,0.47543493,0.5187479699363928
7,SI,100.0,0.1913270099306261,0.43241957,0.6249944209921166,0.2377735019794532,0.4796015,0.5218522450668707
8,SI,1000.0,0.1866384121988501,0.42789876,0.6210870975479268,0.2428677773647973,0.4850804,0.5124297885512967
0,SI,10000,0.2021292279680054,0.44483396,0.6178988169642695,0.2513800675467569,0.49283704,0.5130113968446277
