,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.2609825134277344,1.2825775146484375,"(1516.3, 21.16)","(1590.1, 22.15)",0,0
1,0.0001,1.2825775146484375,1.3022232055664062,"(1590.1, 22.15)","(1664.2, 23.19)",0,0
2,0.001,1.3022232055664062,1.3222427368164062,"(1664.2, 23.19)","(1738.13, 24.21)",0,0
3,0.01,1.3222427368164062,1.3384780883789062,"(1738.13, 24.21)","(1812.96, 25.28)",0,0
4,0.1,1.3384780883789062,1.357391357421875,"(1812.96, 25.28)","(1887.0, 26.25)",0,0
5,1.0,1.357391357421875,1.3778839111328125,"(1887.0, 26.25)","(1960.77, 27.16)",0,0
6,10.0,1.3778839111328125,1.4053497314453125,"(1960.78, 27.16)","(2035.29, 28.14)",0,0
7,100.0,1.4053497314453125,1.4302406311035156,"(2035.29, 28.14)","(2109.65, 29.12)",0,0
8,1000.0,1.4302406311035156,1.4489173889160156,"(2109.65, 29.12)","(2183.78, 30.17)",0,0
0,10000,1.4489173889160156,1.4738197326660156,"(2183.78, 30.17)","(2257.58, 31.23)",0,0
