,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,7.342708587646484,7.362720489501953,"(24776.11, 411.36)","(24853.23, 412.94)",0,0
1,0.0001,7.362720489501953,7.384914398193359,"(24853.23, 412.94)","(24930.69, 414.57)",0,0
2,0.001,7.384914398193359,7.404617309570312,"(24930.7, 414.57)","(25008.34, 416.03)",0,0
3,0.01,7.404617309570312,7.424854278564453,"(25008.34, 416.03)","(25084.87, 417.63)",0,0
4,0.1,7.424854278564453,7.444469451904297,"(25084.87, 417.63)","(25161.77, 419.2)",0,0
5,1.0,7.444469451904297,7.464679718017578,"(25161.78, 419.2)","(25238.19, 420.83)",0,0
6,10.0,7.464679718017578,7.484062194824219,"(25238.19, 420.83)","(25314.84, 422.42)",0,0
7,100.0,7.484062194824219,7.503665924072266,"(25314.84, 422.42)","(25390.98, 424.03)",0,0
8,1000.0,7.503665924072266,7.523887634277344,"(25390.98, 424.03)","(25468.1, 425.71)",0,0
0,10000,7.523887634277344,7.543365478515625,"(25468.1, 425.71)","(25544.56, 427.47)",0,0
