,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,6.6524505615234375,6.672336578369141,"(22064.63, 357.35)","(22141.19, 358.86)",0,0
1,0.0001,6.672336578369141,6.692081451416016,"(22141.19, 358.86)","(22217.35, 360.43)",0,0
2,0.001,6.692081451416016,6.711818695068359,"(22217.35, 360.43)","(22293.34, 361.96)",0,0
3,0.01,6.711818695068359,6.731685638427734,"(22293.35, 361.96)","(22370.15, 363.52)",0,0
4,0.1,6.731685638427734,6.751163482666016,"(22370.15, 363.52)","(22446.73, 365.03)",0,0
5,1.0,6.751163482666016,6.77099609375,"(22446.73, 365.03)","(22523.79, 366.61)",0,0
6,10.0,6.77099609375,6.790985107421875,"(22523.8, 366.61)","(22600.32, 368.2)",0,0
7,100.0,6.790985107421875,6.811824798583984,"(22600.32, 368.2)","(22676.71, 369.71)",0,0
8,1000.0,6.811824798583984,6.831821441650391,"(22676.71, 369.72)","(22753.32, 371.16)",0,0
0,10000,6.831821441650391,6.847541809082031,"(22753.32, 371.16)","(22832.93, 372.88)",0,0
