,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
0,MAS,1e-05,0.1841157993132418,0.42450228,0.628272268697476,0.249246497847596,0.48929638,0.5162813185660988
1,MAS,0.0001,0.1867895494033764,0.4283691,0.620853778348607,0.2431991215871305,0.48490247,0.5193048388690278
2,MAS,0.001,0.2413715664539244,0.48586318,0.6004652298065256,0.2671981217453674,0.5107892,0.489891858524456
3,MAS,0.01,0.2227997380224141,0.46576667,0.5232054105905102,0.2516737646188866,0.4949853,0.4397824386291598
4,MAS,0.1,0.2167397428836141,0.46100056,0.625255390569211,0.2530606355594129,0.4969567,0.5211947855549218
5,MAS,1.0,0.1882116398834563,0.42935336,0.6331125925182971,0.2331647586052109,0.47560114,0.5304334369021664
6,MAS,10.0,0.1882479588029446,0.4297347,0.6260733319605257,0.2466240990273401,0.48786303,0.5215719548896824
7,MAS,100.0,0.1924423129817882,0.43427792,0.6289597366940467,0.2395376635804063,0.48185351,0.5212421385318442
8,MAS,1000.0,0.1831535753588397,0.4236086,0.620004598420924,0.2380509549105653,0.47945032,0.5075788422292324
0,MAS,10000,0.19535836983810773,0.4366889,0.6264713242822983,0.25467961636327563,0.49531722,0.5128744095994888
