,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.442707061767578,1.460651397705078,"(2243.24, 30.0)","(2318.39, 30.86)",0,0
1,0.0001,1.460651397705078,1.477375030517578,"(2318.4, 30.86)","(2392.82, 31.81)",0,0
2,0.001,1.477375030517578,1.497150421142578,"(2392.83, 31.81)","(2466.59, 32.72)",0,0
3,0.01,1.497150421142578,1.517169952392578,"(2466.59, 32.72)","(2540.31, 33.65)",0,0
4,0.1,1.517169952392578,1.5437660217285156,"(2540.31, 33.65)","(2613.39, 34.59)",0,0
5,1.0,1.5437660217285156,1.57122802734375,"(2613.4, 34.59)","(2687.05, 35.55)",0,0
6,10.0,1.57122802734375,1.59088134765625,"(2687.05, 35.55)","(2760.91, 36.49)",0,0
7,100.0,1.59088134765625,1.6113739013671875,"(2760.91, 36.49)","(2835.09, 37.47)",0,0
8,1000.0,1.6113739013671875,1.6311492919921875,"(2835.09, 37.47)","(2908.88, 38.44)",0,0
0,10000,1.6311492919921875,1.6465263366699219,"(2908.88, 38.44)","(2983.9, 39.37)",0,0
