,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.4738197326660156,1.4922332763671875,"(2257.6, 31.23)","(2332.11, 32.26)",0,0
1,0.0001,1.4922332763671875,1.5160255432128906,"(2332.11, 32.26)","(2407.39, 33.12)",0,0
2,0.001,1.5160255432128906,1.541412353515625,"(2407.39, 33.12)","(2480.85, 34.02)",0,0
3,0.01,1.541412353515625,1.5680198669433594,"(2480.85, 34.02)","(2554.35, 35.01)",0,0
4,0.1,1.5680198669433594,1.5891342163085938,"(2554.35, 35.01)","(2628.06, 35.99)",0,0
5,1.0,1.5891342163085938,1.6099929809570312,"(2628.06, 35.99)","(2701.92, 36.93)",0,0
6,10.0,1.6099929809570312,1.630126953125,"(2701.92, 36.93)","(2776.12, 37.9)",0,0
7,100.0,1.630126953125,1.6497802734375,"(2776.13, 37.9)","(2850.33, 38.8)",0,0
8,1000.0,1.6497802734375,1.676128387451172,"(2850.33, 38.8)","(2925.03, 39.77)",0,0
0,10000,1.6761283874511719,1.6921157836914062,"(2925.04, 39.77)","(2998.82, 40.77)",0,0
