,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,7.543365478515625,7.5679931640625,"(25544.57, 427.47)","(25621.46, 429.19)",0,0
1,0.0001,7.5679931640625,7.585418701171875,"(25621.46, 429.19)","(25698.44, 430.76)",0,0
2,0.001,7.585418701171875,7.600742340087891,"(25698.45, 430.76)","(25778.67, 432.44)",0,0
3,0.01,7.600742340087891,7.616218566894531,"(25778.67, 432.44)","(25856.41, 434.11)",0,0
4,0.1,7.616218566894531,7.632175445556641,"(25856.42, 434.11)","(25933.8, 435.84)",0,0
5,1.0,7.632175445556641,7.64715576171875,"(25933.8, 435.84)","(26011.43, 437.47)",0,0
6,10.0,7.64715576171875,7.669933319091797,"(26011.44, 437.47)","(26089.44, 439.0)",0,0
7,100.0,7.669933319091797,7.686756134033203,"(26089.44, 439.0)","(26166.49, 440.65)",0,0
8,1000.0,7.686756134033203,7.706748962402344,"(26166.49, 440.65)","(26243.76, 442.33)",0,0
0,10000,7.706748962402344,7.724384307861328,"(26243.76, 442.33)","(26321.05, 444.08)",0,0
