,Method,reg_coeff,Loss1,RMSE1,PCC1,Loss2,RMSE2,PCC2
2,FedAvg-EWC,0.001,0.2629,0.5044,0.5433,0.2624,0.502,0.5572
5,FedAvg-EWCOnline,1.0,0.2495,0.4913,0.5822,0.2679,0.5069,0.5496
4,FedAvg-MAS,0.1,0.251,0.4941,0.5733,0.2614,0.5019,0.5559
2,FedAvg-NR,100,0.2515,0.4944,0.5769,0.2501,0.4939,0.583
6,FedAvg-SI,10.0,0.2622,0.5046,0.5458,0.2488,0.4895,0.5743
