,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,2.894451141357422,2.91421890258789,"(7542.05, 106.16)","(7617.04, 107.3)",0,0
1,0.0001,2.91421890258789,2.93398666381836,"(7617.05, 107.3)","(7691.43, 108.42)",0,0
2,0.001,2.93398666381836,2.9549789428710938,"(7691.44, 108.42)","(7765.87, 109.57)",0,0
3,0.01,2.9549789428710938,2.9745101928710938,"(7765.87, 109.57)","(7841.56, 110.7)",0,0
4,0.1,2.9745101928710938,3.000743865966797,"(7841.57, 110.7)","(7916.44, 111.89)",0,0
5,1.0,3.000743865966797,3.020641326904297,"(7916.44, 111.89)","(7991.61, 113.03)",0,0
6,10.0,3.020641326904297,3.0401687622070312,"(7991.62, 113.03)","(8067.39, 114.19)",0,0
7,100.0,3.0401687622070312,3.06005859375,"(8067.39, 114.19)","(8142.05, 115.27)",0,0
8,1000.0,3.06005859375,3.0797119140625,"(8142.06, 115.27)","(8217.0, 116.4)",0,0
0,10000,3.0797119140625,3.099475860595703,"(8217.0, 116.4)","(8293.1, 117.61)",0,0
