,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,5.398296356201172,5.414085388183594,"(17072.56, 262.88)","(17148.79, 264.3)",0,0
1,0.0001,5.414085388183594,5.431652069091797,"(17148.79, 264.3)","(17224.85, 265.77)",0,0
2,0.001,5.431652069091797,5.450202941894531,"(17224.86, 265.77)","(17300.74, 267.14)",0,0
3,0.01,5.450202941894531,5.470073699951172,"(17300.75, 267.14)","(17376.87, 268.52)",0,0
4,0.1,5.470073699951172,5.4860382080078125,"(17376.87, 268.52)","(17455.86, 270.08)",0,0
5,1.0,5.4860382080078125,5.500637054443359,"(17455.87, 270.08)","(17533.32, 271.53)",0,0
6,10.0,5.500637054443359,5.515857696533203,"(17533.32, 271.54)","(17610.79, 272.85)",0,0
7,100.0,5.515857696533203,5.53314208984375,"(17610.79, 272.85)","(17687.46, 274.25)",0,0
8,1000.0,5.53314208984375,5.552040100097656,"(17687.47, 274.25)","(17765.01, 275.69)",0,0
0,10000,5.552040100097656,5.576503753662109,"(17765.01, 275.69)","(17841.67, 277.06)",0,0
