,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1,1.646526336669922,1.6655502319335938,"(2983.91, 39.37)","(3058.48, 40.39)",0,0
1,10,1.6655502319335938,1.6850814819335938,"(3058.48, 40.39)","(3133.05, 41.37)",0,0
2,100,1.6850814819335938,1.7103385925292969,"(3133.05, 41.37)","(3207.62, 42.34)",0,0
3,1000,1.7103385925292969,1.7302322387695312,"(3207.63, 42.34)","(3281.28, 43.43)",0,0
0,10000,1.7302322387695312,1.7497596740722656,"(3281.29, 43.43)","(3355.31, 44.41)",0,0
