,Strategy,RAM,CPU,GPU_U,GPU_Mem
0,1e-05,19.96484374999818,76.64999999999984,0.0,0.0
1,0.0001,20.37500000000182,76.75000000000074,0.0,0.0
2,0.001,20.101562499999545,76.84999999999994,0.0,0.0
3,0.01,20.48828125,76.30000000000013,0.0,0.0
4,0.1,20.34765625,76.61000000000007,0.0,0.0
5,1.0,20.23828125,77.3800000000005,0.0,0.0
6,10.0,18.9921875,79.30000000000095,0.0,0.0
7,100.0,16.7265625,77.98999999999933,0.0,0.0
8,1000.0,16.867187500000455,77.67000000000073,0.0,0.0
9,10000.0,22.73046875,77.02000000000024,0.0,0.0
