,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,2.397377014160156,2.417133331298828,"(5644.68, 78.48)","(5718.84, 79.59)",0,0
1,0.0001,2.417133331298828,2.436786651611328,"(5718.84, 79.59)","(5793.23, 80.66)",0,0
2,0.001,2.436786651611328,2.456310272216797,"(5793.23, 80.66)","(5867.47, 81.7)",0,0
3,0.01,2.456310272216797,2.4769325256347656,"(5867.47, 81.7)","(5942.07, 82.69)",0,0
4,0.1,2.4769325256347656,2.4968223571777344,"(5942.08, 82.69)","(6017.2, 83.72)",0,0
5,1.0,2.4968223571777344,2.5163307189941406,"(6017.2, 83.72)","(6091.96, 84.76)",0,0
6,10.0,2.5163307189941406,2.536224365234375,"(6091.96, 84.76)","(6167.06, 85.82)",0,0
7,100.0,2.536224365234375,2.552215576171875,"(6167.07, 85.82)","(6243.13, 86.84)",0,0
8,1000.0,2.552215576171875,2.567840576171875,"(6243.13, 86.84)","(6318.15, 87.9)",0,0
0,10000,2.567840576171875,2.5870018005371094,"(6318.16, 87.9)","(6392.68, 88.97)",0,0
