,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,5.576503753662109,5.593929290771484,"(17841.68, 277.06)","(17918.03, 278.49)",0,0
1,0.0001,5.593929290771484,5.611381530761719,"(17918.03, 278.49)","(17994.41, 279.92)",0,0
2,0.001,5.611381530761719,5.630405426025391,"(17994.41, 279.92)","(18070.71, 281.34)",0,0
3,0.01,5.630405426025391,5.651256561279297,"(18070.71, 281.34)","(18146.68, 282.68)",0,0
4,0.1,5.651256561279297,5.671146392822266,"(18146.68, 282.68)","(18223.0, 283.95)",0,0
5,1.0,5.671146392822266,5.699062347412109,"(18223.0, 283.95)","(18299.27, 285.42)",0,0
6,10.0,5.699062347412109,5.718421936035156,"(18299.27, 285.42)","(18375.34, 286.77)",0,0
7,100.0,5.718421936035156,5.738658905029297,"(18375.35, 286.77)","(18451.62, 288.22)",0,0
8,1000.0,5.738658905029297,5.758419036865234,"(18451.62, 288.22)","(18527.71, 289.67)",0,0
0,10000,5.758419036865234,5.7780609130859375,"(18527.71, 289.67)","(18603.82, 291.11)",0,0
