,Strategy,RAM,CPU,GPU_U,GPU_Mem
0,1e-05,18.152343749999773,14.430000000000025,0.0,0.0
1,0.0001,21.94921875,14.240000000000009,0.0,0.0
2,0.001,11.6875,14.330000000000034,0.0,0.0
3,0.01,17.226562499999886,14.359999999999957,0.0,0.0
4,0.1,16.06640625,14.640000000000011,0.0,0.0
5,1.0,17.9765625,14.400000000000032,0.0,0.0
6,10.0,28.324218749999773,14.42999999999997,0.0,0.0
7,100.0,19.71484375,14.409999999999995,0.0,0.0
8,1000.0,21.0703125,14.390000000000004,0.0,0.0
9,10000.0,19.460937500000455,14.320000000000002,0.0,0.0
