,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,2.69582748413086,2.709003448486328,"(6792.82, 94.4)","(6868.04, 95.53)",0,0
1,0.0001,2.709003448486328,2.733661651611328,"(6868.04, 95.53)","(6942.85, 96.68)",0,0
2,0.001,2.733661651611328,2.7544097900390625,"(6942.85, 96.68)","(7017.32, 97.76)",0,0
3,0.01,2.7544097900390625,2.7744216918945312,"(7017.32, 97.76)","(7091.94, 98.87)",0,0
4,0.1,2.7744216918945312,2.790882110595703,"(7091.95, 98.87)","(7168.04, 100.12)",0,0
5,1.0,2.790882110595703,2.807846069335937,"(7168.04, 100.12)","(7243.07, 101.39)",0,0
6,10.0,2.807846069335937,2.8271217346191406,"(7243.07, 101.39)","(7317.71, 102.62)",0,0
7,100.0,2.8271217346191406,2.8539581298828125,"(7317.71, 102.62)","(7391.84, 103.84)",0,0
8,1000.0,2.8539581298828125,2.874073028564453,"(7391.84, 103.84)","(7466.47, 105.02)",0,0
0,10000,2.874073028564453,2.894451141357422,"(7466.47, 105.02)","(7542.04, 106.16)",0,0
