,Strategy,RAM,CPU,GPU_U,GPU_Mem
0,1e-05,13.492187499999545,76.35000000000025,0.0,0.0
1,0.0001,25.25,75.9600000000004,0.0,0.0
2,0.001,21.24609375,75.54999999999933,0.0,0.0
3,0.01,20.4921875,75.72999999999989,0.0,0.0
4,0.1,16.85546875,77.34000000000015,0.0,0.0
5,1.0,17.371093749999545,76.29999999999973,0.0,0.0
6,10.0,19.738281250000455,75.87000000000033,0.0,0.0
7,100.0,27.48046875,75.35000000000011,0.0,0.0
8,1000.0,20.59765625,75.81000000000009,0.0,0.0
9,10000.0,20.8671875,76.70999999999971,0.0,0.0
