,round,Loss,RMSE
0,1.0,0.2689839899539947,0.5186366438865662
1,2.0,0.2666358053684234,0.5163678526878357
2,3.0,0.2651141583919525,0.5148923993110657
3,4.0,0.2544000446796417,0.5043808817863464
4,5.0,0.254057228565216,0.5040408968925476
5,6.0,0.2651847898960113,0.5149609446525574
6,7.0,0.2560671269893646,0.5060307383537292
7,8.0,0.2483448982238769,0.4983421862125397
8,9.0,0.2645403146743774,0.5143347978591919
0,10.0,0.25373518466949463,0.5037213563919067
