,Strategy,RAM Before,RAM After,CPU Before,CPU After,GPU Before,GPU After
0,1e-05,1.9932518005371087,2.013999938964844,"(4145.24, 56.64)","(4220.82, 57.64)",0,0
1,0.0001,2.013999938964844,2.030338287353516,"(4220.82, 57.64)","(4297.28, 58.66)",0,0
2,0.001,2.030338287353516,2.04681396484375,"(4297.29, 58.66)","(4372.21, 59.74)",0,0
3,0.01,2.04681396484375,2.06622314453125,"(4372.21, 59.74)","(4446.87, 60.81)",0,0
4,0.1,2.06622314453125,2.08624267578125,"(4446.87, 60.81)","(4521.45, 61.89)",0,0
5,1.0,2.08624267578125,2.1058807373046875,"(4521.45, 61.89)","(4596.12, 62.94)",0,0
6,10.0,2.1058807373046875,2.125640869140625,"(4596.12, 62.95)","(4670.37, 64.03)",0,0
7,100.0,2.125640869140625,2.1454086303710938,"(4670.38, 64.03)","(4745.23, 65.14)",0,0
8,1000.0,2.1454086303710938,2.1699371337890625,"(4745.24, 65.14)","(4819.77, 66.27)",0,0
0,10000,2.1699371337890625,2.188976287841797,"(4819.77, 66.27)","(4894.37, 67.38)",0,0
